,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
0,52,services,married,secondary,no,108,yes,no,unknown,15,may,543,12,-1,0,unknown,no
1,35,admin.,married,unknown,no,1055,no,no,cellular,2,mar,59,2,-1,0,unknown,no
2,37,blue-collar,married,secondary,no,32,yes,no,unknown,20,may,146,2,-1,0,unknown,no
3,57,unemployed,married,primary,no,2743,no,no,cellular,29,jan,89,1,-1,0,unknown,no
4,42,self-employed,married,tertiary,no,6383,no,no,cellular,27,aug,111,5,-1,0,unknown,no
5,52,management,divorced,tertiary,no,2909,yes,no,unknown,30,may,110,1,-1,0,unknown,no
6,24,management,single,tertiary,no,933,yes,no,unknown,4,jun,122,1,-1,0,unknown,no
7,31,blue-collar,single,secondary,no,178,yes,no,cellular,15,may,415,1,360,5,failure,no
8,52,blue-collar,married,primary,no,1007,yes,no,unknown,16,may,248,2,-1,0,unknown,no
9,44,blue-collar,single,secondary,no,-435,yes,no,unknown,27,may,141,2,-1,0,unknown,no
10,45,housemaid,married,tertiary,no,40,yes,no,cellular,3,sep,81,1,213,1,failure,no
11,33,entrepreneur,married,tertiary,no,595,no,no,cellular,7,aug,22,2,-1,0,unknown,no
12,36,unemployed,single,unknown,no,4481,no,no,telephone,30,jul,99,2,-1,0,unknown,no
13,46,entrepreneur,married,secondary,no,0,no,no,cellular,29,jul,100,12,-1,0,unknown,no
14,32,unemployed,married,tertiary,no,0,no,no,cellular,4,feb,106,1,-1,0,unknown,no
15,55,housemaid,married,primary,no,4,no,no,cellular,21,nov,85,3,-1,0,unknown,no
16,35,blue-collar,married,secondary,no,0,no,yes,cellular,21,jul,72,4,-1,0,unknown,no
17,28,admin.,married,secondary,no,330,no,no,cellular,2,dec,357,1,188,3,other,yes
18,53,admin.,single,secondary,no,291,no,no,unknown,23,jul,145,1,-1,0,unknown,no
19,30,services,married,secondary,no,0,yes,no,cellular,7,may,512,1,-1,0,unknown,no
20,56,blue-collar,married,primary,no,8163,no,no,cellular,14,aug,1231,4,-1,0,unknown,yes
21,31,technician,married,tertiary,no,2951,yes,no,cellular,17,jul,115,1,-1,0,unknown,no
22,33,management,single,tertiary,no,1781,no,no,cellular,8,oct,611,2,183,1,success,yes
23,42,admin.,divorced,secondary,no,146,yes,no,unknown,14,may,148,2,-1,0,unknown,no
24,36,admin.,single,secondary,no,206,yes,no,unknown,8,may,183,1,-1,0,unknown,no
25,51,retired,married,secondary,no,226,yes,yes,unknown,8,may,418,1,-1,0,unknown,no
26,50,management,married,tertiary,no,0,no,no,cellular,30,jan,199,1,205,1,failure,no
27,33,technician,married,secondary,no,946,yes,no,unknown,21,may,163,2,-1,0,unknown,no
28,28,blue-collar,married,secondary,no,337,yes,no,cellular,12,may,450,2,-1,0,unknown,no
29,58,retired,married,secondary,no,413,no,no,cellular,27,aug,104,5,-1,0,unknown,no
30,35,services,married,secondary,no,0,no,yes,telephone,9,jul,42,1,-1,0,unknown,no
31,48,technician,married,secondary,no,0,yes,no,cellular,21,jul,112,1,-1,0,unknown,no
32,45,admin.,divorced,secondary,no,1293,yes,yes,telephone,20,oct,164,1,-1,0,unknown,no
33,46,technician,divorced,secondary,no,2862,yes,yes,cellular,30,jul,132,3,-1,0,unknown,no
34,35,management,married,tertiary,no,2123,yes,no,cellular,20,apr,54,1,273,3,failure,no
35,35,management,married,tertiary,no,1582,no,no,telephone,21,jul,37,1,-1,0,unknown,no
36,35,management,single,tertiary,no,837,no,no,cellular,4,aug,329,1,-1,0,unknown,no
37,30,admin.,single,tertiary,no,305,no,no,cellular,4,feb,227,2,-1,0,unknown,yes
38,55,housemaid,married,primary,no,1537,no,no,unknown,19,jun,359,1,-1,0,unknown,no
39,40,technician,married,secondary,yes,4,no,no,cellular,27,aug,145,3,-1,0,unknown,no
40,32,self-employed,married,secondary,no,-33,yes,no,unknown,28,may,234,3,-1,0,unknown,no
41,42,self-employed,divorced,tertiary,no,360,yes,no,unknown,24,jun,110,5,-1,0,unknown,no
42,42,blue-collar,married,secondary,no,171,yes,no,unknown,14,may,55,1,-1,0,unknown,no
43,58,services,married,primary,no,443,no,no,telephone,6,feb,41,2,204,1,failure,no
44,55,blue-collar,married,primary,no,0,no,no,cellular,5,aug,334,2,-1,0,unknown,no
45,36,services,married,secondary,no,1024,yes,no,unknown,18,jun,111,2,-1,0,unknown,no
46,42,technician,married,secondary,no,2,no,no,unknown,29,may,249,2,-1,0,unknown,no
47,29,services,single,secondary,no,184,no,no,cellular,14,jul,46,3,-1,0,unknown,no
48,53,management,married,tertiary,no,2385,no,no,cellular,8,aug,498,8,-1,0,unknown,no
49,33,technician,single,tertiary,no,0,no,no,cellular,5,aug,122,1,-1,0,unknown,no
50,52,management,married,unknown,no,1708,no,no,unknown,6,sep,310,1,75,4,failure,yes
51,43,retired,married,primary,no,7298,no,no,unknown,11,jun,36,2,-1,0,unknown,no
52,46,blue-collar,married,secondary,no,2485,yes,no,unknown,13,may,174,4,-1,0,unknown,no
53,33,blue-collar,divorced,primary,no,60,no,no,unknown,9,may,131,1,-1,0,unknown,no
54,33,admin.,single,tertiary,no,146,no,no,cellular,22,oct,380,1,91,3,success,yes
55,50,blue-collar,married,primary,no,180,yes,no,cellular,16,apr,105,2,-1,0,unknown,no
56,35,technician,single,secondary,no,11423,yes,no,unknown,23,may,107,1,-1,0,unknown,no
57,58,technician,divorced,secondary,no,0,yes,no,unknown,26,may,273,2,-1,0,unknown,no
58,59,retired,married,primary,no,143,yes,no,unknown,19,jun,11,1,-1,0,unknown,no
59,41,technician,married,secondary,no,2125,yes,yes,cellular,28,jul,433,4,-1,0,unknown,no
60,46,blue-collar,married,unknown,no,8,no,no,cellular,11,aug,79,6,-1,0,unknown,no
61,39,services,married,secondary,no,27,no,yes,cellular,7,jul,290,1,-1,0,unknown,no
62,47,admin.,married,secondary,no,829,yes,yes,unknown,14,may,339,1,-1,0,unknown,no
63,51,unemployed,married,secondary,no,7464,no,no,cellular,20,nov,176,2,-1,0,unknown,no
64,36,admin.,single,secondary,no,185,yes,no,cellular,15,may,61,4,371,5,other,no
65,52,entrepreneur,divorced,secondary,no,302,no,no,unknown,19,jun,169,2,-1,0,unknown,no
66,35,technician,divorced,secondary,yes,-52,yes,no,unknown,20,may,265,1,-1,0,unknown,no
67,67,retired,divorced,primary,no,1746,no,no,cellular,5,aug,134,1,-1,0,unknown,no
68,37,management,married,tertiary,no,4332,no,no,cellular,14,aug,213,2,-1,0,unknown,no
69,37,management,married,tertiary,no,0,no,no,cellular,4,aug,96,1,-1,0,unknown,no
70,43,admin.,married,tertiary,no,1317,yes,no,cellular,4,feb,112,1,-1,0,unknown,no
71,38,management,married,tertiary,yes,-562,yes,no,unknown,3,jun,206,1,-1,0,unknown,no
72,41,admin.,married,secondary,no,80,no,no,cellular,19,nov,202,1,-1,0,unknown,no
73,52,entrepreneur,married,tertiary,no,2309,no,yes,cellular,21,nov,13,2,-1,0,unknown,no
74,37,unknown,single,tertiary,no,0,no,no,cellular,3,mar,426,1,-1,0,unknown,yes
